t,phi,dphi,A,B,R,gamma_eff
22.305576394098527,1.0246687795837648,0.10058842927521729,0.7784090902799885,0.7806267799572811,0.9999999996382485,0.05750327643179068
22.330582645661416,1.0272281148349718,0.10408542502941033,0.7784090902986776,0.7806267799781341,0.9999999996649842,0.057503276422929024
22.355588897224308,1.0298732418345884,0.10744920849517008,0.7784090903169409,0.7806267799983305,0.9999999996905415,0.057503276414309884
22.380595148787197,1.032600766251461,0.1106747331057349,0.778409090334782,0.7806267800178924,0.9999999997148549,0.057503276405927534
22.40560140035009,1.0354071683568558,0.11375702549070338,0.7784090903522034,0.7806267800368408,0.999999999737879,0.057503276397776665
22.43060765191298,1.0382888051511814,0.11669119471156925,0.7784090903692081,0.7806267800551961,0.9999999997595873,0.05750327638985205
22.45561390347587,1.041241912409735,0.11947244060102034,0.7784090903857986,0.7806267800729781,0.99999999977997,0.05750327638214873
22.48062015503876,1.0442626070673378,0.12209606400249393,0.7784090904019777,0.7806267800902058,0.9999999997990325,0.05750327637466179
22.505626406601653,1.0473468901010232,0.12455747666482976,0.7784090904177481,0.7806267801068969,0.9999999998167934,0.057503276367386696
22.530632658164542,1.0504906488771175,0.12685221187388013,0.778409090433113,0.7806267801230692,0.9999999998332824,0.05750327636031871
22.55563890972743,1.0536896613080766,0.12897593648942238,0.7784090904480758,0.7806267801387395,0.9999999998485385,0.0575032763534533
22.580645161290324,1.0569395979166758,0.13092446125294968,0.7784090904626402,0.7806267801539238,0.9999999998626087,0.0575032763467861
22.605651412853213,1.0602360273352474,0.13269375527931454,0.7784090904768103,0.780626780168638,0.9999999998755454,0.057503276340312603
22.630657664416105,1.0635744186628857,0.13427995603726095,0.7784090904905905,0.7806267801828969,0.999999999887406,0.05750327633402854
22.655663915978995,1.0669501470540947,0.13567938506011745,0.7784090905039859,0.7806267801967149,0.9999999998982502,0.05750327632792946
22.680670167541887,1.0703584986375418,0.13688856003719688,0.7784090905170014,0.7806267802101062,0.9999999999081399,0.0575032763220112
22.705676419104776,1.0737946734883697,0.13790420738452203,0.7784090905296429,0.7806267802230841,0.9999999999171376,0.05750327631626938
22.73068267066767,1.077253794432612,0.1387232799279624,0.7784090905419163,0.7806267802356616,0.9999999999253054,0.05750327631069979
22.755688922230558,1.0807309103575102,0.13934296692249412,0.778409090553828,0.7806267802478511,0.9999999999327045,0.057503276305298195
22.78069517379345,1.0842210016369185,0.13976070977752386,0.7784090905653844,0.7806267802596649,0.9999999999393941,0.05750327630006046
22.80570142535634,1.0877189903754236,0.13997421893378986,0.7784090905765928,0.7806267802711145,0.9999999999454318,0.05750327629498233
22.830707676919232,1.091219743503861,0.13998148363762575,0.7784090905874599,0.7806267802822114,0.999999999950872,0.057503276290059725
22.85571392848212,1.0947180811835924,0.13978078931836496,0.7784090905979932,0.7806267802929663,0.9999999999557667,0.05750327628528862
22.880720180045014,1.0982087854810718,0.13937073053563803,0.7784090906082002,0.7806267803033897,0.9999999999601645,0.057503276280664914
22.905726431607903,1.1016866060376367,0.13875022412903726,0.7784090906180884,0.780626780313492,0.9999999999641113,0.05750327627618462
22.930732683170795,1.1051462709325894,0.13791852381728045,0.7784090906276657,0.7806267803232828,0.9999999999676494,0.05750327627184384
22.955738934733684,1.1085824928548857,0.13687523128253298,0.7784090906369397,0.7806267803327718,0.9999999999708182,0.05750327626763865
22.980745186296573,1.111989979688727,0.135620310011033,0.7784090906459186,0.7806267803419681,0.9999999999736539,0.05750327626356524
23.005751437859466,1.1153634427128702,0.13415409547443474,0.7784090906546096,0.7806267803508808,0.9999999999761897,0.05750327625961989
23.030757689422355,1.1186976064524525,0.13247730693811866,0.778409090663021,0.7806267803595185,0.9999999999784561,0.05750327625579884
